record_id,title,work_date,source_institution,source_url,accession_id,source_series,analysis_subset,source_checked_on,practice,subject_count,controlled_background,environment_visible,v1_candidate,exclusion_reason,image_structure,framing_scale,head_view,head_tilt,chin_angle,torso_view,face_visibility,crop_pattern,gaze_direction,mouth_state,expression_intensity,hands_visibility,hand_relation,shoulder_state,torso_rotation,posture_openness,weight_distribution,pose_motion,image_orientation,subject_placement,negative_space_bias,background_tone,seamless_background,backdrop_edge_visible,black_border_visible,face_frame_height_ratio,figure_frame_height_ratio,tonality,key_direction,shadow_hardness,facial_shadow_pattern,overall_contrast,highlight_clipping_visible,deep_black_area,observed_notes,annotation_confidence,needs_review,review_reason,annotator,annotated_on
AP-PIL-FND-01,"Chet Baker, singer, New York, January 16, 1986",1986-01-16,The Richard Avedon Foundation,https://www.avedonfoundation.org/the-work,,,formal_portrait_general,2026-08-27,portrait,1,yes,none,true,,single_frame,tight_head,frontal,level,neutral,not_visible,full,none,camera,closed_neutral,low,none,not_applicable,not_visible,not_visible,not_assessable,not_assessable,still,square,centered,top,white,yes,no,unclear,,,black_and_white,unclear,unclear,unclear,unclear,unclear,unclear,单人脸部近距离特写；头部正面，双眼朝向镜头，嘴唇闭合；白色连续背景；仅少量颈肩位于下缘，未见手或环境。,medium,true,作品结构与主体背景可由官方灯箱可靠判断；页面预览分辨率不足以可靠判定 key_direction、shadow_hardness、facial_shadow_pattern、overall_contrast、highlight_clipping_visible、deep_black_area，相关字段填 unclear，需高分辨率复核。试标复核后按 V2 定义由 face_detail 改为 tight_head：完整五官仍可见，仅头部边缘接近画框。,codex,2026-08-27
AP-PIL-FND-02,"Dorothy Parker, writer, New York, June 17, 1958",1958-06-17,The Richard Avedon Foundation,https://www.avedonfoundation.org/the-work,,,formal_portrait_general,2026-08-27,portrait,1,yes,none,true,,single_frame,head_and_shoulders,frontal,level,raised,frontal,full,none,camera,lips_parted,medium,none,not_applicable,level,none,open,centered,still,portrait,centered,balanced,mid_gray,yes,no,unclear,,,black_and_white,unclear,unclear,unclear,unclear,unclear,unclear,单人头肩近景；脸部完整可见，头部略向后仰；双眼朝镜头方向，嘴唇分开并可见部分牙齿；衬衫领口和耳饰入镜；连续中灰背景，无环境信息。,medium,true,作品结构与主体背景可由官方灯箱可靠判断；页面预览分辨率不足以可靠判定 key_direction、shadow_hardness、facial_shadow_pattern、overall_contrast、highlight_clipping_visible、deep_black_area，相关字段填 unclear，需高分辨率复核。,codex,2026-08-27
AP-PIL-FND-03,"Marilyn Monroe, actress, New York City, May 6, 1957",1957-05-06,The Richard Avedon Foundation,https://www.avedonfoundation.org/the-work,,,formal_portrait_general,2026-08-27,portrait,1,yes,none,true,,single_frame,bust,frontal,level,neutral,frontal,full,none,image_right,lips_parted,medium,none,not_applicable,level,none,open,centered,still,square,centered,balanced,mid_gray,yes,no,unclear,,,black_and_white,unclear,unclear,unclear,unclear,unclear,unclear,单人胸像；脸和肩部正面朝向画面，视线偏向画面右侧，嘴唇微张；深色亮片上衣和肩部入镜；连续中灰背景，无环境信息。,medium,true,作品结构与主体背景可由官方灯箱可靠判断；页面预览分辨率不足以可靠判定 key_direction、shadow_hardness、facial_shadow_pattern、overall_contrast、highlight_clipping_visible、deep_black_area，相关字段填 unclear，需高分辨率复核。,codex,2026-08-27
AP-PIL-FND-04,"Dr. J. Robert Oppenheimer, physicist, Princeton, New Jersey, December 11, 1958",1958-12-11,The Richard Avedon Foundation,https://www.avedonfoundation.org/the-work,,,formal_portrait_general,2026-08-27,portrait,1,yes,none,true,,single_frame,bust,three_quarter_facing_image_left,level,neutral,three_quarter_facing_image_left,full,none,image_left,closed_neutral,low,one,touching_face,level,slight,mixed,centered,still,square,image_right,image_left,white,yes,no,unclear,,,black_and_white,unclear,unclear,unclear,unclear,unclear,unclear,单人胸像；头和上身向画面左侧转，视线同向；一只手触及面颊，另一只手未入镜；外套、衬衫和领带入镜；白色连续背景，无环境信息。,medium,true,作品结构与主体背景可由官方灯箱可靠判断；页面预览分辨率不足以可靠判定 key_direction、shadow_hardness、facial_shadow_pattern、overall_contrast、highlight_clipping_visible、deep_black_area，相关字段填 unclear，需高分辨率复核。,codex,2026-08-27
AP-PIL-FND-05,"Alberto Giacometti, sculptor, Paris, March 6, 1958",1958-03-06,The Richard Avedon Foundation,https://www.avedonfoundation.org/the-work,,,formal_portrait_general,2026-08-27,portrait,1,yes,none,true,,single_frame,three_quarter_body,three_quarter_facing_image_left,level,neutral,frontal,full,leg_or_foot,camera,lips_parted,medium,one,unclear,level,slight,mixed,centered,still,square,centered,balanced,dark,yes,no,unclear,,,black_and_white,unclear,unclear,unclear,unclear,unclear,unclear,单人约四分之三身；头部略向画面左侧，脸部完整可见；人物站立至膝下附近，双腿下部在画面下缘被裁切；一只手在画面右侧握住深色物件，另一只手位于身后不可见；连续深灰背景，无地点或环境细节。,medium,true,作品结构与主体背景可由官方灯箱可靠判断；页面预览分辨率不足以可靠判定 key_direction、shadow_hardness、facial_shadow_pattern、overall_contrast、highlight_clipping_visible、deep_black_area，相关字段填 unclear，需高分辨率复核。不同权威预览对手部位置的可辨程度不足，hand_relation 暂不作为 route 证据。,codex,2026-08-27
AP-PIL-MUS-01,"Dwight David Eisenhower, President of the United States, Palm Springs, California","January 31, 1964",The Museum of Modern Art,https://www.moma.org/collection/works/128625,484.2009,,formal_portrait_general,2026-08-27,portrait,1,yes,none,true,,single_frame,head_and_shoulders,frontal,level,neutral,frontal,full,none,camera,closed_neutral,low,none,not_applicable,level,none,not_assessable,not_assessable,still,square,centered,balanced,white,yes,no,yes,0.35,0.86,black_and_white,frontal,soft,under_features,high,unclear,medium,单人；头部和双肩完整可见，下缘裁在胸部附近；头和躯干正对镜头；目光朝镜头，嘴闭合；人物居中；背景为平坦白色，作品四周可见黑色印框；未见环境物件或手部。,high,false,,Codex museum-reference-pool,2026-08-27
AP-PIL-MUS-02,"Lee Friedlander, photographer, New City, New York","May 24, 2002",The Museum of Modern Art,https://www.moma.org/collection/works/128642,501.2009,,formal_portrait_general,2026-08-27,portrait,1,yes,none,true,,single_frame,waist_up,three_quarter_facing_image_left,level,neutral,frontal,full,none,image_left,closed_neutral,low,none,not_applicable,level,none,open,centered,still,portrait,centered,balanced,light_gray,yes,no,unclear,0.20,0.86,black_and_white,frontal,soft,one_side,medium,no,medium,单人；头部至腰部以下可见；头略转向画面左侧，目光朝画面左侧；双臂下垂，手未入镜；胸前悬挂一台相机；人物居中；背景为浅灰无缝面；下缘裁在腰部以下；未见环境物件。,high,false,,Codex museum-reference-pool,2026-08-27
AP-PIL-MUS-03,Arthur Frank Burns,"May 4, 1976","National Portrait Gallery, Smithsonian Institution",https://npg.si.edu/object/npg_NPG.89.83.10,NPG.89.83.10,,formal_portrait_general,2026-08-27,portrait,1,yes,none,true,,single_frame,waist_up,frontal,level,neutral,frontal,full,none,camera,closed_neutral,medium,both,gripping_object,level,none,mixed,centered,still,portrait,centered,balanced,white,yes,no,yes,0.24,0.88,black_and_white,frontal,soft,under_features,high,unclear,medium,单人；头部至髋部附近可见；头和躯干正对镜头；双手位于腹部前并持眼镜；人物居中；白色无缝背景，作品四周可见黑色印框；目光朝镜头，嘴闭合；未见环境物件。,high,false,,Codex museum-reference-pool,2026-08-27
AP-PIL-MUS-04,Bella Abzug,"June 19, 1976","National Portrait Gallery, Smithsonian Institution",https://npg.si.edu/object/npg_NPG.89.83.1,NPG.89.83.1,,formal_portrait_general,2026-08-27,portrait,1,yes,none,true,,single_frame,waist_up,frontal,level,neutral,frontal,full,none,camera,open_smile_teeth,high,partial,resting,level,none,open,centered,still,portrait,centered,balanced,white,yes,no,yes,0.20,0.95,black_and_white,frontal,soft,mixed,medium,unclear,small,单人；戴宽檐帽；脸正对镜头并微笑露齿；身着长袖纹理服装；头部至髋部或大腿上部附近可见；双臂下垂，手部在下缘部分被裁；人物居中；白色无缝背景，作品四周可见黑色印框；未见环境物件。,high,false,,Codex museum-reference-pool,2026-08-27
AP-PIL-MUS-05,Richard Avedon Self-Portrait,1978,"National Portrait Gallery, Smithsonian Institution",https://npg.si.edu/object/npg_NPG.93.94,NPG.93.94,,formal_portrait_general,2026-08-27,portrait,1,yes,none,true,,single_frame,bust,frontal,unclear,unclear,unclear,full,none,camera,closed_neutral,low,one,gripping_object,unclear,unclear,mixed,not_assessable,still,portrait,centered,top,light_gray,yes,no,unclear,0.26,0.85,color,frontal,soft,mixed,medium,no,medium,单人；头部至胸部附近可见；脸正对镜头并戴眼镜；一只手臂横过胸前，手接触下方相机；相机占据下方画面；人物居中；上方背景为浅灰近白且无环境信息；下缘裁在胸部和相机附近。,medium,true,相机和横臂遮挡部分躯干，torso_view 与手部关系需要复核。,Codex museum-reference-pool,2026-08-27
