pool_id,title,work_date,source_institution,source_url,accession_id,source_series,practice,subject_count_from_title,v1_candidate,exclusion_reason,source_checked_on
AP-CAR-0001,"A. L. Bean, cotton farmer, Sweetwater, Texas, 3/10/79",1979,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/l-bean-cotton-farmer-sweetwater-texas-31079-p19852840,P1985.28.40,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0002,"Alfred Lester, dryland farmer, Charboneau, North Dakota, 8/17/82",1982,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/alfred-lester-dryland-farmer-charboneau-north-dakota-81782-p19852880,P1985.28.80,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0003,"Allen Silvy, drifter, Route 93, Chloride, Nevada, 12/14/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/allen-silvy-drifter-route-93-chloride-nevada-121480-p19852841,P1985.28.41,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0004,"Alton Terry, oil field worker, Frenstat, Texas, 9/28/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/alton-terry-oil-field-worker-frenstat-texas-92880-p19852858,P1985.28.58,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0005,"Andrea D'Amato, student, Santa Fe, New Mexico, 4/3/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/andrea-damato-student-santa-fe-new-mexico-4380-p19852883,P1985.28.83,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0006,"Ann Marie Gustin, equipment specialist, USAF, Fort Bridger, Wyoming, 9/2/83",1983,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/ann-marie-gustin-equipment-specialist-usaf-fort-bridger-wyoming-9283-p19852871,P1985.28.71,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0007,"Annette Gonzales, housewife, and her sister Lydia Ranck, secretary, Santuario de Chimayo, New Mexico, Easter Sunday, 4/6/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/carter-collection/collection-group/american-west?page=0,P1985.28.27,In the American West,portrait,2,false,title names 2 human subjects,2026-08-27
AP-CAR-0008,"B. J. Van Fleet, nine year old, Ennis, Montana, 7/2/82",1982,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/b-j-van-fleet-nine-year-old-ennis-montana-7282-p19852865,P1985.28.65,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0009,"Benson James, drifter, Route 66, Gallup, New Mexico, 6/30/79",1979,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/benson-james-drifter-route-66-gallup-new-mexico-63079-p19852826,P1985.28.26,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0010,"Beverly Jane Frazier, truck driver, Burley, Idaho, 8/20/83",1983,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/beverly-jane-frazier-truck-driver-burley-idaho-82083-p19852879,P1985.28.79,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0011,"Bill Curry, drifter, Interstate 40, Yukon, Oklahoma, 6/16/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/bill-curry-drifter-interstate-40-yukon-oklahoma-61680-p19852846,P1985.28.46,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0012,"Bill Hanken, construction worker, Cody, Wyoming, 7/4/82",1982,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/bill-hanken-construction-worker-cody-wyoming-7482-p19852847,P1985.28.47,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0013,"Billy Joe Danos, day laborer, Cheyenne, Wyoming, 7/25/82",1982,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/billy-joe-danos-day-laborer-cheyenne-wyoming-72582-p19852844,P1985.28.44,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0014,"Billy Mudd, Trucker, Alto, Texas, 5/7/81",1981,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/billy-mudd-trucker-alto-texas-5781-p198528105,P1985.28.105,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0015,"Blue Cloud Wright, slaughterhouse worker, Omaha, Nebraska, 8/10/79",1979,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/blue-cloud-wright-slaughterhouse-worker-omaha-nebraska-81079-p19852862,P1985.28.62,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0016,"Boyd Fortin, thirteen year old, Sweetwater, Texas, 3/10/79",1979,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/boyd-fortin-thirteen-year-old-sweetwater-texas-31079-p19852881,P1985.28.81,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0017,"Bubba Morrison, oil field worker, Albany, Texas, 6/10/79",1979,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/bubba-morrison-oil-field-worker-albany-texas-61079-p19852855,P1985.28.55,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0018,"Carey Wright, crop duster, Lamesa, Texas, 3/10/79",1979,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/carey-wright-crop-duster-lamesa-texas-31079-p198528100,P1985.28.100,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0019,"Carl Hoefert, unemployed blackjack dealer, Reno, Nevada, 8/30/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/carl-hoefert-unemployed-blackjack-dealer-reno-nevada-83080-p19852834,P1985.28.34,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0020,"Carol Crittendon, bartender, Butte, Montana, 7/1/81",1981,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/carol-crittendon-bartender-butte-montana-7181-p19852845,P1985.28.45,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0021,"Charlene Van Tighem, physical therapist, Augusta, Montana, 6/23/83",1983,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/charlene-van-tighem-physical-therapist-augusta-montana-62383-p1985281,P1985.28.1,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0022,"Clarence Lippard, drifter, Interstate 80, Sparks, Nevada, 8/29/83",1983,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/clarence-lippard-drifter-interstate-80-sparks-nevada-82983-p19852870,P1985.28.70,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0023,"Clifford Feldner, unemployed ranch hand, Golden, Colorado, 6/15/83",1983,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/clifford-feldner-unemployed-ranch-hand-golden-colorado-61583-p19852837,P1985.28.37,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0024,"Clyde Corley, rancher, Belgrade, Montana, 8/26/79",1979,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/clyde-corley-rancher-belgrade-montana-82679-p19852896,P1985.28.96,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0025,"Cotton Thompson, maintenance man, Fat Stock Show, Fort Worth, Texas, 2/2/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/cotton-thompson-maintenance-man-fat-stock-show-fort-worth-texas-2280-p19852893,P1985.28.93,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0026,"Craig Panike, drummer, High School Band, Weiser, Idaho, 6/27/81",1981,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/craig-panike-drummer-high-school-band-weiser-idaho-62781-p19852887,P1985.28.87,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0027,"Daniel Salozar, farmer, Santuario de Chimayo, New Mexico, Good Friday, 4/4/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/daniel-salozar-farmer-santuario-de-chimayo-new-mexico-good-friday-4480-p19852850,P1985.28.50,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0028,"Danny Lane, fourteen year old, Christine Coil, seventeen year old, Calhan, Colorado, 7/31/81",1981,Amon Carter Museum of American Art,https://www.cartermuseum.org/carter-collection/collection-group/american-west?page=1,P1985.28.77,In the American West,portrait,2,false,title names 2 human subjects,2026-08-27
AP-CAR-0029,"Dave Timothey, nuclear fallout victim, Orem, Utah, 8/8/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/dave-timothey-nuclear-fallout-victim-orem-utah-8880-p19852854,P1985.28.54,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0030,"David Beason, shipping clerk, Denver, Colorado, 7/25/81",1981,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/david-beason-shipping-clerk-denver-colorado-72581-p19852816,P1985.28.16,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0031,"David Wurtz, cemetery man, Hutterite Colony, Chester, Montana, 7/21/83",1983,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/david-wurtz-cemetery-man-hutterite-colony-chester-montana-72183-p19852885,P1985.28.85,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0032,"Dawn Jaynes, waitress, Clint Jones, ranch hand, Rocky Ford, Colorado, 8/23/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/carter-collection/collection-group/american-west?page=1,P1985.28.11,In the American West,portrait,2,false,title names 2 human subjects,2026-08-27
AP-CAR-0033,"Debbie McClendon, carney, Thermopolis, Wyoming, 7/29/81",1981,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/debbie-mcclendon-carney-thermopolis-wyoming-72981-p19852832,P1985.28.32,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0034,"Debbie McIntyre, practical nurse, and her daughter Marie, Cortez, Colorado, 6/11/83",1983,Amon Carter Museum of American Art,https://www.cartermuseum.org/carter-collection/collection-group/american-west?page=1,P1985.28.109,In the American West,portrait,2,false,title names 2 human subjects,2026-08-27
AP-CAR-0035,"Della Trujillo, waitress, Santuario de Chimayo, New Mexico, Good Friday, 4/4/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/della-trujillo-waitress-santuario-de-chimayo-new-mexico-good-friday-4480-p19852821,P1985.28.21,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0036,"Donald Keen, coal miner, Reliance, Wyoming, 8/28/79",1979,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/donald-keen-coal-miner-reliance-wyoming-82879-p198528116,P1985.28.116,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0037,"Doug Harper, coal miner, Somerset, Colorado, 8/29/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/doug-harper-coal-miner-somerset-colorado-82980-p198528122,P1985.28.122,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0038,"Edward Roop, coal miner, Paonia, Colorado, 12/19/79",1979,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/edward-roop-coal-miner-paonia-colorado-121979-p198528117,P1985.28.117,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0039,"Eli Walter, Jr., chicken man, Hutterite Colony, Stanford, Montana, 7/23/83",1983,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/eli-walter-jr-chicken-man-hutterite-colony-stanford-montana-72383-p19852886,P1985.28.86,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0040,"Emma Lee Wellington, housewife, North Las Vegas, Nevada, 12/15/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/emma-lee-wellington-housewife-north-las-vegas-nevada-121580-p19852818,P1985.28.18,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0041,"Emory J. Stovall, scientist, Los Alamos, New Mexico, 6/12/79",1979,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/emory-j-stovall-scientist-los-alamos-new-mexico-61279-p19852872,P1985.28.72,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0042,"Freida Kleinsasser, thirteen year old, Hutterite Colony, Harlowton, Montana, 6/23/83",1983,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/freida-kleinsasser-thirteen-year-old-hutterite-colony-harlowton-montana-62383-p19852884,P1985.28.84,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0043,"G. R. Cook III, rodeo contestant, Douglas, Wyoming, 7/27/81",1981,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/g-r-cook-iii-rodeo-contestant-douglas-wyoming-72781-p1985285,P1985.28.5,In the American West,portrait,1,true,,2026-08-27
AP-CAR-0044,"Gary Polson, Alvin Rowley, coal miners, Somerset, Colorado, 12/18/79",1979,Amon Carter Museum of American Art,https://www.cartermuseum.org/carter-collection/collection-group/american-west?page=2,P1985.28.120,In the American West,portrait,2,false,title names 2 human subjects,2026-08-27
AP-CAR-0045,"Gilbert Saavedra, patient, State Hospital, Las Vegas, New Mexico, 4/1/80",1980,Amon Carter Museum of American Art,https://www.cartermuseum.org/collection/gilbert-saavedra-patient-state-hospital-las-vegas-new-mexico-4180-p198528104,P1985.28.104,In the American West,portrait,1,true,,2026-08-27
